ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent,Error
P07,10,bar,56,55,0.16992500144231237
P07,11,donut,69,55,3.820178962415188
P07,12,stacked,77,80,1.6438561897747246
P07,13,stacked,42,40,1.0874628412503393
P07,14,donut,28,15,3.7142455176661224
P07,15,donut,61,65,2.0443941193584534
P07,16,bar,19,20,0.16992500144231237
P07,17,stacked,100,100,0.0
P07,18,bar,47,48,0.16992500144231237
P07,19,donut,73,75,1.0874628412503393
P07,20,stacked,35,33,1.0874628412503393
P07,21,stacked,89,85,2.0443941193584534
P07,22,bar,62,50,3.599912842187128
P07,23,donut,54,50,2.0443941193584534
P07,24,bar,91,90,0.16992500144231237
P07,25,donut,36,20,4.011227255423254
P07,26,stacked,66,70,2.0443941193584534
P07,27,bar,20,20,0.0
P07,28,donut,80,78,1.0874628412503393
P07,29,donut,47,45,1.0874628412503393
P07,30,stacked,72,75,1.6438561897747246
P07,31,bar,98,100,1.0874628412503393
P07,32,stacked,55,52,1.6438561897747246
P07,33,donut,68,60,3.0223678130284544
P07,34,bar,32,35,1.6438561897747246
P07,35,stacked,84,85,0.16992500144231237
P07,36,bar,59,42,4.098032082960526
P07,37,donut,38,40,1.0874628412503393
P07,38,stacked,50,48,1.0874628412503393
P07,39,bar,76,75,0.16992500144231237
P07,40,donut,92,95,1.6438561897747246
P07,41,stacked,31,30,0.16992500144231237
P07,42,bar,64,68,2.0443941193584534
P07,43,donut,58,60,1.0874628412503393
P07,44,stacked,87,75,3.599912842187128
P07,45,donut,44,30,3.820178962415188
P07,46,bar,69,70,0.16992500144231237
P07,47,bar,23,25,1.0874628412503393
P07,48,stacked,78,80,1.0874628412503393
P07,49,donut,65,68,1.6438561897747246
P07,50,bar,52,50,1.0874628412503393
P07,51,stacked,97,95,1.0874628412503393
P07,52,donut,41,28,3.7142455176661224
P07,53,bar,85,85,0.0
P07,54,stacked,29,30,0.16992500144231237
P07,55,donut,75,78,1.6438561897747246
P07,56,bar,56,58,1.0874628412503393
P07,57,stacked,63,60,1.6438561897747246
P07,58,bar,35,38,1.6438561897747246
P07,59,donut,99,100,0.16992500144231237
P07,60,stacked,70,60,3.3398500028846247
P08,1,donut,52,55,1.6438561897747246
P08,2,donut,78,65,3.7142455176661224
P08,3,stacked,46,45,0.16992500144231237
P08,4,bar,65,68,1.6438561897747246
P08,5,bar,39,40,0.16992500144231237
P08,6,donut,86,85,0.16992500144231237
P08,7,stacked,31,20,3.4757334309663976
P08,8,stacked,72,75,1.6438561897747246
P08,9,bar,94,95,0.16992500144231237
P08,10,donut,23,25,1.0874628412503393
P08,11,donut,67,70,1.6438561897747246
P08,12,bar,48,35,3.7142455176661224
P08,13,stacked,88,90,1.0874628412503393
P08,14,bar,58,60,1.0874628412503393
P08,15,donut,41,40,0.16992500144231237
P08,16,stacked,100,100,0.0
P08,17,bar,35,35,0.0
P08,18,donut,62,60,1.0874628412503393
P08,19,stacked,54,50,2.0443941193584534
P08,20,bar,76,78,1.0874628412503393
P08,21,donut,44,42,1.0874628412503393
P08,22,donut,81,70,3.4757334309663976
P08,23,stacked,38,40,1.0874628412503393
P08,24,bar,69,55,3.820178962415188
P08,25,donut,29,28,0.16992500144231237
P08,26,bar,84,85,0.16992500144231237
P08,27,stacked,63,65,1.0874628412503393
P08,28,donut,51,50,0.16992500144231237
P08,29,bar,22,15,2.8328900141647417
P08,30,stacked,91,90,0.16992500144231237
P08,31,donut,68,70,1.0874628412503393
P08,32,stacked,42,40,1.0874628412503393
P08,33,bar,57,60,1.6438561897747246
P08,34,donut,75,78,1.6438561897747246
P08,35,bar,47,48,0.16992500144231237
P08,36,stacked,79,80,0.16992500144231237
P08,37,donut,36,35,0.16992500144231237
P08,38,bar,61,45,4.011227255423254
P08,39,stacked,34,35,0.16992500144231237
P08,40,donut,87,90,1.6438561897747246
P08,41,bar,52,50,1.0874628412503393
P08,42,stacked,66,65,0.16992500144231237
P08,43,donut,59,60,0.16992500144231237
P08,44,bar,98,100,1.0874628412503393
P08,45,stacked,20,18,1.0874628412503393
P08,46,donut,73,75,1.0874628412503393
P08,47,bar,45,45,0.0
P08,48,donut,82,85,1.6438561897747246
P08,49,stacked,53,55,1.0874628412503393
P08,50,bar,27,30,1.6438561897747246
P08,51,donut,64,65,0.16992500144231237
P08,52,stacked,77,60,4.098032082960526
